TRIP_ID,TAXI_ID,YEAR,MONTH,WEEK,DAY,HOUR,MIN,WEEKDAY,CALL_TYPE_A,CALL_TYPE_B,CALL_TYPE_C,ORIGIN_CALL,ORIGIN_STAND,MISSING_DATA,TIMESTAMP
T1,20000542,2014,8,33,14,17,57,3,0,1,0,1,1,0,1408039037
T2,20000108,2014,8,33,14,17,50,3,0,1,0,1,1,0,1408038611
T3,20000370,2014,8,33,14,17,49,3,0,1,0,1,1,0,1408038568
T4,20000492,2014,8,33,14,17,58,3,0,1,0,1,1,0,1408039090
T5,20000621,2014,8,33,14,17,59,3,0,1,0,1,1,0,1408039177
T6,20000607,2014,8,33,14,17,25,3,1,0,0,1,1,0,1408037146
T7,20000310,2014,8,33,14,17,54,3,0,1,0,1,1,0,1408038846
T8,20000619,2014,8,33,14,17,55,3,1,0,0,1,1,0,1408038948
T9,20000503,2014,8,33,14,17,49,3,0,1,0,1,1,0,1408038563
T10,20000327,2014,8,33,14,17,40,3,0,1,0,1,1,0,1408038021
T11,20000664,2014,8,33,14,17,44,3,0,1,0,1,1,0,1408038267
T12,20000160,2014,8,33,14,17,55,3,0,0,1,1,1,0,1408038946
T13,20000017,2014,8,33,14,17,58,3,0,0,1,1,1,0,1408039130
T14,20000312,2014,8,33,14,17,10,3,0,0,1,1,1,0,1408036255
T15,20000497,2014,8,33,14,17,46,3,0,0,1,1,1,0,1408038388
T16,20000440,2014,8,33,14,17,35,3,0,0,1,1,1,0,1408037740
T17,20000467,2014,8,33,14,17,53,3,0,0,1,1,1,0,1408038804
T18,20000338,2014,8,33,14,17,43,3,0,0,1,1,1,0,1408038215
T19,20000101,2014,8,33,14,17,52,3,0,1,0,1,1,0,1408038749
T20,20000523,2014,8,33,14,17,19,3,0,0,1,1,1,0,1408036754
T21,20000460,2014,8,33,14,17,58,3,0,1,0,1,1,0,1408039125
T22,20000199,2014,8,33,14,17,56,3,1,0,0,1,1,0,1408039009
T23,20000480,2014,8,33,14,17,55,3,1,0,0,1,1,0,1408038924
T24,20000250,2014,8,33,14,17,59,3,0,1,0,1,1,0,1408039145
T25,20000903,2014,8,33,14,17,57,3,0,1,0,1,1,0,1408039057
T26,20000247,2014,8,33,14,17,57,3,0,1,0,1,1,0,1408039029
T27,20000263,2014,8,33,14,17,54,3,0,1,0,1,1,0,1408038859
T28,20000500,2014,8,33,14,17,59,3,0,1,0,1,1,0,1408039165
T29,20000617,2014,8,33,14,17,47,3,0,1,0,1,1,0,1408038439
T30,20000288,2014,8,33,14,17,50,3,0,1,0,1,1,0,1408038605
T31,20000268,2014,8,33,14,17,48,3,0,1,0,1,1,0,1408038529
T32,20000495,2014,8,33,14,17,53,3,0,1,0,1,1,0,1408038808
T33,20000328,2014,8,33,14,17,50,3,0,0,1,1,1,0,1408038614
T34,20000129,2014,8,33,14,17,59,3,0,0,1,1,1,0,1408039193
T35,20000434,2014,8,33,14,17,47,3,0,0,1,1,1,0,1408038465
T36,20000381,2014,8,33,14,17,20,3,0,0,1,1,1,0,1408036826
T37,20000159,2014,8,33,14,17,41,3,1,0,0,1,1,0,1408038095
T38,20000048,2014,8,33,14,17,53,3,0,1,0,1,1,0,1408038796
T39,20000008,2014,8,33,14,17,58,3,0,1,0,1,1,0,1408039102
T40,20000285,2014,8,33,14,17,54,3,0,1,0,1,1,0,1408038865
T41,20000546,2014,8,33,14,17,48,3,0,1,0,1,1,0,1408038486
T42,20000353,2014,8,33,14,17,58,3,0,0,1,1,1,0,1408039100
T43,20000569,2014,8,33,14,17,50,3,0,0,1,1,1,0,1408038600
T44,20000384,2014,8,33,14,17,45,3,0,1,0,1,1,0,1408038310
T45,20000653,2014,8,33,14,17,56,3,0,1,0,1,1,0,1408038968
T46,20000540,2014,8,33,14,17,56,3,0,1,0,1,1,0,1408039014
T47,20000280,2014,8,33,14,17,52,3,0,0,1,1,1,0,1408038735
T48,20000177,2014,8,33,14,17,55,3,0,0,1,1,1,0,1408038933
T49,20000085,2014,8,33,14,17,50,3,0,1,0,1,1,0,1408038625
T50,20000022,2014,8,33,14,17,45,3,0,1,0,1,1,0,1408038317
